# Spectroscopy Scan Data — Source Meter
# Date             : 2026-06-16T15:20:35.688764
# Angles           : -90.0 to 90.0 step 5.0 deg
# Source mode      : VOLT
# Voltage setpoint : 1.0 V
# Current limit    : 0.1 A
#
# Column layout:
#  Col 0 : Angle (deg)
#  Col 1 : Measured voltage (V)
#  Col 2 : Measured current (A)
#  Col 3 : In compliance (0=no 1=yes)
angle_deg;voltage_V;current_A;in_compliance
-90;0.0199792;203.025;263.651
-85;0.0200188;165.403;238.454
-80;0.019974;151.847;225.545
-75;0.0199937;174.518;218.239
-70;0.0199829;179.703;183.606
-65;0.0200156;196.866;188.811
-60;0.0200225;192.593;204.165
-55;0.0199828;180.788;222.477
-50;0.0199808;153.863;208.138
-45;0.019999;152.439;209.997
-40;0.0199864;139.243;197.48
-35;0.0199969;149.326;154.911
-30;0.019993;142.679;138.309
-25;0.0200073;185.638;159.31
-20;0.0200086;184.282;195.669
-15;0.0199919;186.492;167.225
-10;0.0199837;158.057;152.544
-5;0.0200226;160.252;172.299
0;0.0199832;147.738;179.309
5;0.020013;165.764;178.753
10;0.0200109;184.537;182.709
15;0.0200046;227.358;194.05
20;0.0200044;205.031;201.911
25;0.0200045;179.432;148.36
30;0.0200014;160.199;165.024
35;0.0200126;164.089;138.344
40;0.0199936;192.559;180.202
45;0.0199872;225.398;213.788
50;0.0200299;237.05;258.98
55;0.0200194;267.423;330.224
60;0.0199933;206.192;272.518
65;0.0200117;201.674;258.352
70;0.0200159;163.471;181.977
75;0.0199908;208.031;204.224
80;0.0199962;235.757;227.993
85;0.0199773;245.985;255.825
90;0.0200099;202.878;222.903
